,ids,pids,prompt,response
264,4357,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I've been followed and watched closely in stores. I've also been denied job opportunities because of my race."""
265,4397,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I've been the target of racial jokes and slurs from my peers."""
266,4397,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was stopped by a police officer while walking home because he said I fit the description of someone they were looking for."""
267,4397,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was turned away from a job interview because of my last name."""
268,4397,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was denied a job opportunity because of my race."""
269,4397,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was told I was only accepted into a college because of affirmative action."""
270,4417,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was walking with a friend of mine who is African-American and people crossed the street to avoid us."""
271,4417,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was at a party and some of the other people there made offensive jokes about my race."""
272,4417,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was told by someone that I shouldn't go to a certain college because they didn't accept people like me."""
273,4417,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was walking in a store and a security guard followed me around the whole time."""
274,4417,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","people have made comments about my skin color in school, saying I'm 'privileged' and 'shouldn't complain.'"""
275,4471,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, hispanic, reponded with: ""","I was at a restaurant with my family and someone made a comment about us speaking Spanish."""
276,4471,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, hispanic, reponded with: ""","I was told to go back to my country even though I was born in the US."""
277,4471,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, hispanic, reponded with: ""","a classmate made fun of me for speaking Spanish in class."""
278,4471,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, hispanic, reponded with: ""","I was pulled over for no reason and the police officer asked to see my license even though I hadn't done anything wrong."""
279,4471,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, hispanic, reponded with: ""","I was walking down the street with my friends and a group of men started to catcall us and use racial slurs."""
280,4489,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, hispanic, reponded with: ""","a teacher told me that all people from my culture are lazy and not as smart as other students."""
281,4489,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, hispanic, reponded with: ""","when I'm walking around my neighborhood, I often get people staring at me or making comments about my ethnicity."""
282,4489,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, hispanic, reponded with: ""","I was denied a job because of my ethnicity."""
283,4489,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, hispanic, reponded with: ""","I was stopped by police for no reason while walking to the store with my friends."""
284,4489,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, hispanic, reponded with: ""","I was stopped by the police while walking home from school and asked why I was out of the house and where I was going."""
285,4495,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was denied a job opportunity because of my race."""
286,4495,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was walking down the street and someone called me a racial slur."""
287,4495,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was refused service at a restaurant because of the color of my skin."""
288,4495,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","in my high school, some of my classmates assumed that I was privileged because of my skin color and assumed I had never struggled with anything."""
289,4495,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was asked to leave a restaurant because the owner said I didn't belong there."""
290,4544,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, white, reponded with: ""","I was walking with my friends and a group of people shouted racial slurs at us."""
291,4544,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, white, reponded with: ""","I was told to stop speaking Spanish in public even though I am fluent in it."""
292,4544,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, white, reponded with: ""","I was told to go back to where I came from when I was speaking Spanish to my family."""
293,4544,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, white, reponded with: ""","I was told I got into college because of affirmative action, not because of my grades."""
294,4544,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, white, reponded with: ""","a group of kids at school made fun of me because I have friends who are of different ethnicities."""
295,4573,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was told I don't understand what it’s like to experience racism because I'm white."""
296,4573,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was walking with my friends who are people of color, and a group of people yelled derogatory comments at us."""
297,4573,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was called a racial slur by someone on the bus."""
298,4573,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was told I was 'too privileged' for a job I applied for."""
299,4573,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","people have said racist jokes around me and laughed, even though i wasn't laughing."""
300,4576,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I received negative comments from classmates when they found out I was friends with people of color."""
301,4576,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was walking around in my neighborhood and a group of people started yelling racial slurs at me."""
302,4576,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","while playing basketball in the park, a group of people started making comments about my race."""
303,4576,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was called a racial slur while walking down the street."""
304,4576,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, white, reponded with: ""","I was walking with my friends who are people of color and someone called us racial slurs."""
305,4699,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, asian, reponded with: ""","I was walking home from school and a group of people started to yell racial slurs at me."""
306,4699,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, asian, reponded with: ""","I was walking with my friends and a group of people yelled racial slurs at us and threatened us."""
307,4699,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, asian, reponded with: ""","I was walking to school and a group of people shouted racial slurs and made fun of me."""
308,4699,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, asian, reponded with: ""","I was walking down the street and someone shouted racial slurs at me."""
309,4699,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, male, asian, reponded with: ""","I was walking down the street and a group of people shouted racial slurs at me."""
310,4726,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, white, reponded with: ""","I was told to go back to where I came from by another student at school."""
311,4726,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, white, reponded with: ""","I've been called a 'privileged white girl' when I don't agree with someone's opinion."""
312,4726,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, white, reponded with: ""","I was told by a group of people that I was too 'privileged' to understand their struggles."""
313,4726,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, white, reponded with: ""","I was walking down the street when a car full of people drove by and yelled a racial slur at me."""
314,4726,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 15 years old, female, white, reponded with: ""","I was at a restaurant and a few people were making racist comments about me and my friends."""
315,4759,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","people make assumptions about me based on my skin color and that I'm from a privileged background."""
316,4759,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was told I was only allowed in certain places because of the color of my skin."""
317,4759,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was walking in my neighborhood and a group of people started making fun of me for being white."""
318,4759,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was called 'privileged' for no apparent reason when talking to a group of friends."""
319,4759,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was told by my teacher to not talk to my black classmates because they were 'troublemakers'."""
320,4786,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was asked to leave a party because of the color of my skin."""
321,4786,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","my teacher assumed that I was more knowledgeable about a certain subject because of my race."""
322,4786,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","Someone called me an 'oreo' because I was hanging out with a group of black friends."""
323,4786,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was walking to school and a group of kids started making fun of me because of the color of my skin."""
324,4786,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, male, white, reponded with: ""","I was told by some of my peers that I had 'white privilege' and that I didn't understand what it was like to be a person of color in our society."""
325,4808,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was refused entry to a party because I was white and the host wanted an all-black party."""
326,4808,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was denied a job because they said they wanted to hire someone who was more diverse."""
327,4808,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","my teacher assumed i was not capable of understanding a difficult math equation because of my race."""
328,4808,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","a group of kids at school made fun of my hair color and called me names."""
329,4808,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I've been called a racial slur when I'm walking down the street."""
330,4857,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I was walking home from school and a group of white boys called me a racial slur."""
331,4857,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I was turned away from a job interview because of the color of my skin."""
332,4857,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I was walking home from school and a group of white boys in a car shouted racist slurs at me and drove away."""
333,4857,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I was walking down the street and a group of white people started hurling racial slurs at me."""
334,4857,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, female, black, reponded with: ""","I was walking home from school and a group of people shouted racial slurs at me from a car that drove by."""
